nombre,descripcion,cantidad,numero_aula
Proyector HD,Proyector alta definición EPSON,3,A101
Pizarra blanca,Pizarra magnética 120x90,4,A101
Ordenador portátil,Lenovo ThinkPad i5 8GB,20,A102
Ratón inalámbrico,Ratón USB inalámbrico,20,A102
Teclado USB,Teclado estándar español,20,A102
Microscopio,Microscopio binocular 400x,8,B201
Vaso de precipitados 250ml,Vidrio borosilicato,15,B201
Probeta graduada,Probeta 100ml cristal,10,B201
Balón fútbol sala,Balón talla 4 oficial,6,GIM
Colchoneta,Colchoneta espuma 180x60,12,GIM
Pizarra digital,Pizarra interactiva 75 pulgadas,2,B202
Altavoz Bluetooth,Altavoz JBL para idiomas,2,B202
Silla ergonómica,Silla regulable para alumnos,30,
Mesa de escritorio,Mesa 120x60 madera,5,
